CustomerID,PageViews,TimeOnSite,ProductsViewed,CartAdds,Purchases,BounceRate,ReferralSource,DeviceType
123,3,275.62,14,0,1,0.12,Email,Tablet
124,10,278.37,4,9,0,0.54,Organic,Tablet
125,10,319.72,13,2,0,0.01,Organic,Desktop
126,6,278.95,2,7,0,0.32,Organic,Desktop
127,9,314.49,5,5,0,0.37,Email,Desktop
128,11,403.77,11,4,0,0.4,Email,Mobile
129,9,343.56,6,4,0,0.7,Social,Tablet
130,10,283.7,18,5,0,0.39,Paid,Mobile
131,11,360.06,10,6,0,0.45,Social,Tablet
132,16,279.6,4,0,0,0.24,Paid,Tablet
133,9,198.09,9,8,0,0.37,Email,Tablet
134,10,249.6,6,2,0,0.23,Email,Tablet
135,16,206.46,2,3,1,0.07,Social,Tablet
136,7,282.42,17,9,1,0.6,Direct,Tablet
137,5,300.92,5,0,0,0.67,Social,Tablet
138,5,383.82,6,9,0,0.62,Paid,Mobile
139,4,316.35,12,2,0,0.46,Social,Desktop
140,14,289.04,10,1,1,0.38,Organic,Desktop
141,13,341.47,6,1,1,0.86,Paid,Mobile
142,8,189.44,8,0,0,0.52,Paid,Mobile
143,12,311.78,2,7,1,0.48,Direct,Mobile
144,9,338.54,12,2,0,0.03,Email,Mobile
145,14,226.07,13,2,0,0.34,Paid,Tablet
146,12,357.19,7,5,1,0.38,Email,Desktop
147,10,316.92,10,7,1,0.4,Social,Tablet
148,9,279.24,13,8,1,0.58,Organic,Desktop
149,15,331.64,17,8,1,0.53,Direct,Desktop
150,17,413.53,14,3,0,0.61,Email,Mobile
151,11,309.09,2,4,1,0.76,Paid,Tablet
152,8,312.41,11,1,0,0.81,Email,Mobile
153,5,277.03,1,8,1,0.72,Paid,Tablet
154,9,257.51,19,7,0,0.96,Email,Desktop
155,8,341.52,4,2,1,0.02,Paid,Mobile
156,6,257.2,19,8,0,0.2,Social,Mobile
157,11,303.58,11,2,1,0.01,Paid,Desktop
158,5,276.12,8,8,0,0.65,Paid,Desktop
159,12,323.95,11,1,1,0.9,Organic,Desktop
160,9,316.68,4,9,0,0.24,Paid,Mobile
161,9,351.88,17,8,0,0.93,Organic,Tablet
162,13,274.5,7,7,0,0.06,Direct,Mobile
163,9,286.51,8,8,0,0.93,Organic,Tablet
164,5,251.06,3,4,1,0.35,Social,Mobile
165,3,277.79,2,1,0,0.1,Organic,Mobile
166,12,318.87,15,7,1,0.49,Direct,Desktop
167,18,337.85,5,5,0,0.26,Social,Tablet
168,8,253.89,1,7,0,0.28,Email,Mobile
169,11,343.48,4,4,1,0.31,Email,Mobile
170,9,367.78,15,9,1,0.8,Organic,Desktop
171,3,320.67,19,1,0,0.54,Organic,Desktop
172,10,393.84,3,5,0,0.31,Direct,Tablet
173,8,261.31,11,4,1,0.61,Direct,Mobile
174,10,237.77,17,4,0,0.72,Paid,Tablet
175,11,211.06,13,0,1,0.27,Direct,Mobile
176,12,374.8,11,1,1,0.41,Paid,Tablet
177,8,332.72,2,7,1,0.12,Social,Desktop
178,12,297.22,9,2,0,0.18,Organic,Mobile
179,11,314.0,2,9,1,0.68,Social,Tablet
180,3,243.73,9,2,0,0.18,Direct,Desktop
181,9,422.29,9,7,0,0.53,Social,Desktop
182,11,306.46,8,7,0,0.71,Social,Tablet
183,14,305.47,17,1,0,0.11,Social,Mobile
184,9,336.29,1,7,1,0.57,Direct,Mobile
185,14,324.05,11,0,1,0.26,Social,Desktop
186,9,311.19,8,5,1,0.96,Paid,Mobile
187,17,260.48,10,7,0,0.48,Direct,Mobile
188,7,323.57,7,2,0,0.81,Social,Mobile
189,11,394.1,3,7,0,0.55,Direct,Desktop
190,10,367.27,3,0,1,0.04,Email,Tablet
191,10,379.66,18,8,0,0.63,Paid,Mobile
192,10,274.44,5,8,1,0.95,Social,Desktop
193,14,250.52,12,4,0,0.6,Email,Desktop
194,6,293.71,12,9,0,0.82,Email,Tablet
195,13,302.79,19,3,1,0.88,Direct,Mobile
196,12,354.71,6,5,0,0.23,Email,Mobile
197,6,215.38,2,6,1,0.21,Paid,Tablet
198,8,376.48,12,4,1,0.61,Paid,Tablet
199,9,292.1,19,9,0,0.41,Organic,Desktop
200,15,278.66,5,8,0,0.84,Paid,Desktop
